"Days","Confirmed","Deaths","Recoveries","Active"
1,555,17,28,510
2,654,18,30,606
3,941,26,36,879
4,1434,42,39,1353
5,2118,56,52,2010
6,2927,82,61,2784
7,5578,131,107,5340
8,6166,133,126,5907
9,8234,171,143,7920
10,9927,213,222,9492
11,12038,259,284,11495
12,16787,362,472,15953
13,19881,426,623,18832
14,23892,492,852,22548
15,27635,564,1124,25947
16,30794,634,1487,28673
17,34391,719,2011,31661
18,37120,806,2616,33698
19,40150,906,3244,36000
20,42762,1013,3946,37803
21,44802,1113,4683,39006
22,45221,1118,5150,38953
23,60368,1371,6295,52702
24,66885,1523,8058,57304
25,69030,1666,9395,57969
26,71224,1770,10865,58589
27,73258,1868,12583,58807
28,75136,2007,14352,58777
29,75639,2122,16121,57396
30,76197,2247,18177,55773
31,76819,2251,18890,55678
32,78572,2458,22886,53228
33,78958,2469,23394,53095
34,79561,2629,25227,51705
35,80406,2708,27905,49793
36,81388,2770,30384,48234
37,82746,2814,33277,46655
38,84112,2872,36711,44529
39,86011,2941,39782,43288
40,88369,2996,42716,42657
41,90306,3085,45602,41619
42,92840,3160,48228,41452
43,95120,3254,51170,40696
44,97886,3348,53796,40742
45,101801,3460,55865,42476
46,105847,3558,58358,43931
47,109821,3802,60694,45325
48,113590,3988,62494,47108
49,118620,4262,64404,49954
50,125875,4615,67003,54257
51,128352,4720,68324,55308
52,145205,5404,70251,69550
53,156101,5819,72624,77658
54,167454,6440,76034,84980
55,181574,7126,78088,96360
56,197102,7905,80840,108357
57,214821,8733,83312,122776
58,242570,9867,84975,147728
59,272208,11299,87420,173489
60,304507,12973,91692,199842
61,336953,14651,97899,224403
62,378235,16505,98351,263379
63,418045,18625,108000,291420
64,467653,21181,113787,332685
65,529591,23970,122150,383471
66,593291,27198,130915,435178
67,660706,30652,139415,490639
68,720140,33925,149082,537133
69,782395,37582,164566,580247
70,857487,42107,178034,637346
71,932605,46809,193177,692619
72,1013320,52983,210263,750074
73,1095917,58787,225796,811334
74,1197405,64606,246152,886647
75,1272115,69374,260012,942729
76,1345101,74565,276515,994021
77,1426096,81865,300054,1044177
